interior_points,level,dx,finite_difference_energy,analytical_energy,relative_error
25,1,0.038461538461538464,4.9288011097155,4.934802200544679,0.001216075251915232
25,5,0.038461538461538464,119.66290665588826,123.37005501361698,0.030049012763425743
50,1,0.0196078431372549,4.933241954948352,4.934802200544679,0.00031617186118516053
50,5,0.0196078431372549,122.39785688896578,123.37005501361698,0.007880341177961651
100,1,0.009900990099009901,4.934404339429749,4.934802200544679,8.062351817993745e-05
100,5,0.009900990099009901,123.12158420454064,123.37005501361698,0.002014028518094709
200,1,0.004975124378109453,4.9347017406779345,4.934802200544679,2.0357425214198638e-05
200,5,0.004975124378109453,123.30727986633558,123.37005501361698,0.0005088361780698806
400,1,0.0024937655860349127,4.934776960006234,4.934802200544679,5.114802462055691e-06
400,5,0.0024937655860349127,123.35428045167174,123.37005501361698,0.0001278637830184522
